target distance, reaction time, accuracy
5,-1,0.7430739
5,-1,0.8219645
5,2.027443,0.8298422
5,8.583412,0.6620732
5,2.902725,0.7472803
5,2.19455,0.8348902
5,3.055527,0.6731484
5,2.236237,0.7725047
15,4.027191,0.6029449
15,9.846832,0.6722089
15,0.555603,0.01083195
15,-1,0.4884621
15,4.902405,0.2801973
15,3.625092,0.6683856
5,3.458252,0.9195692
5,3.555389,0.9239216
5,3.375885,0.7231746
5,3.041351,0.8099644
5,2.458618,0.6140213
15,3.624817,0.6860198
15,3.374573,0.8566115
15,3.416565,0.3035882
15,2.513367,0.5025651
